frame_number,timestamp,entered,left,inside
3840,2026-04-29 13:41:31,10,0,10
3870,2026-04-29 13:41:32,10,0,10
3900,2026-04-29 13:41:34,10,0,10
3930,2026-04-29 13:41:35,10,0,10
3960,2026-04-29 13:41:36,10,0,10
3990,2026-04-29 13:41:38,10,0,10
4020,2026-04-29 13:41:39,10,0,10
4050,2026-04-29 13:41:40,10,0,10
4080,2026-04-29 13:41:42,10,0,10
4110,2026-04-29 13:41:43,10,0,10
4140,2026-04-29 13:41:44,10,0,10
4170,2026-04-29 13:41:46,10,0,10
4200,2026-04-29 13:41:47,10,0,10
4230,2026-04-29 13:41:48,10,0,10
4260,2026-04-29 13:41:50,10,0,10
4290,2026-04-29 13:41:51,10,0,10
4320,2026-04-29 13:41:52,10,0,10
4350,2026-04-29 13:41:53,10,0,10
4380,2026-04-29 13:41:55,10,0,10
4410,2026-04-29 13:41:56,10,0,10
4440,2026-04-29 13:41:57,10,0,10
4470,2026-04-29 13:41:59,10,0,10
4500,2026-04-29 13:42:00,10,0,10
4530,2026-04-29 13:42:01,10,0,10
4560,2026-04-29 13:42:03,10,0,10
4590,2026-04-29 13:42:04,10,0,10
4620,2026-04-29 13:42:05,10,0,10
4650,2026-04-29 13:42:07,10,0,10
4680,2026-04-29 13:42:08,10,0,10
4710,2026-04-29 13:42:09,10,0,10
4740,2026-04-29 13:42:11,10,0,10
4770,2026-04-29 13:42:12,10,0,10
4800,2026-04-29 13:42:13,10,0,10
4830,2026-04-29 13:42:15,10,0,10
4860,2026-04-29 13:42:16,10,0,10
4890,2026-04-29 13:42:17,10,0,10
4920,2026-04-29 13:42:19,10,0,10
4950,2026-04-29 13:42:20,10,0,10
4980,2026-04-29 13:42:21,10,0,10
5010,2026-04-29 13:42:23,10,0,10
5040,2026-04-29 13:42:24,10,0,10
5070,2026-04-29 13:42:25,10,0,10
5100,2026-04-29 13:42:27,10,0,10
5130,2026-04-29 13:42:28,10,0,10
5160,2026-04-29 13:42:29,10,0,10
5190,2026-04-29 13:42:31,11,0,11
5220,2026-04-29 13:42:32,11,0,11
5250,2026-04-29 13:42:33,11,0,11
5280,2026-04-29 13:42:35,11,0,11
5310,2026-04-29 13:42:36,11,0,11
5340,2026-04-29 13:42:37,11,0,11
5370,2026-04-29 13:42:39,11,0,11
5400,2026-04-29 13:42:40,11,0,11
5430,2026-04-29 13:42:41,11,0,11
5460,2026-04-29 13:42:43,11,0,11
5490,2026-04-29 13:42:44,11,0,11
5520,2026-04-29 13:42:45,11,0,11
5529,2026-04-29 13:42:46,11,0,11
3960,2026-04-30 11:21:07,4,0,4
3990,2026-04-30 11:21:09,4,0,4
4020,2026-04-30 11:21:10,4,0,4
4050,2026-04-30 11:21:11,4,0,4
4080,2026-04-30 11:21:13,4,0,4
4110,2026-04-30 11:21:14,4,0,4
4140,2026-04-30 11:21:15,4,0,4
4170,2026-04-30 11:21:16,4,0,4
4200,2026-04-30 11:21:18,4,0,4
4230,2026-04-30 11:21:19,4,0,4
4260,2026-04-30 11:21:20,4,0,4
4290,2026-04-30 11:21:21,4,0,4
4320,2026-04-30 11:21:23,4,0,4
4350,2026-04-30 11:21:24,4,0,4
4380,2026-04-30 11:21:25,4,0,4
4410,2026-04-30 11:21:27,4,0,4
4440,2026-04-30 11:21:28,4,0,4
4470,2026-04-30 11:21:29,4,0,4
4500,2026-04-30 11:21:31,4,0,4
4530,2026-04-30 11:21:32,4,0,4
4560,2026-04-30 11:21:33,4,0,4
4590,2026-04-30 11:21:35,4,0,4
4620,2026-04-30 11:21:36,4,0,4
4650,2026-04-30 11:21:37,4,0,4
4680,2026-04-30 11:21:38,4,0,4
4710,2026-04-30 11:21:40,4,0,4
4740,2026-04-30 11:21:41,4,0,4
4770,2026-04-30 11:21:42,4,0,4
4800,2026-04-30 11:21:44,4,0,4
4830,2026-04-30 11:21:45,4,0,4
4860,2026-04-30 11:21:46,4,0,4
4890,2026-04-30 11:21:47,4,0,4
4920,2026-04-30 11:21:48,4,0,4
4950,2026-04-30 11:21:50,4,0,4
4980,2026-04-30 11:21:51,4,0,4
5010,2026-04-30 11:21:52,4,0,4
5040,2026-04-30 11:21:54,4,0,4
5070,2026-04-30 11:21:55,4,0,4
5100,2026-04-30 11:21:56,4,0,4
5130,2026-04-30 11:21:58,4,0,4
5160,2026-04-30 11:21:59,4,0,4
5190,2026-04-30 11:22:00,5,0,5
5220,2026-04-30 11:22:02,5,0,5
5250,2026-04-30 11:22:03,5,0,5
5280,2026-04-30 11:22:04,5,0,5
5310,2026-04-30 11:22:05,5,0,5
5340,2026-04-30 11:22:07,5,0,5
5370,2026-04-30 11:22:08,5,0,5
5400,2026-04-30 11:22:10,5,0,5
5430,2026-04-30 11:22:11,5,0,5
5460,2026-04-30 11:22:13,5,0,5
5490,2026-04-30 11:22:14,5,0,5
5520,2026-04-30 11:22:16,5,0,5
